City,Country,Order Date,Product,Region,Segment,Ship Mode,State,Profit/Loss,Sales,Sl.No
Korba,INDIA,01-08-2017,Foundation,North,Cosmetics,Take Away,Chattisghar,1176,32676,89
Mumbai,INDIA,01-08-2017,lipstick,Central,Cosmetics,Take Away,Maharastra,1255,37128,90
Gurgaon,INDIA,06-10-2018,Powder,North,Cosmetics,Take Away,Haryana,1347,2100,95
Jaipur,INDIA,06-10-2018,Powder,North,Cosmetics,Take Away,Rajasthan,53,924,96
Ananthpur,INDIA,06-10-2018,lipstick,South,Cosmetics,Take Away,Andra Pradesh,1420,20748,97
Korba,INDIA,06-10-2018,Sun screen,North,Cosmetics,Take Away,Chattisghar,1469,13608,99
Ananthpur,INDIA,10-08-2017,nail Polish,South,Cosmetics,Take Away,Andra Pradesh,1434,2604,106
Lucknow,INDIA,01-01-2018,lipstick,North,Cosmetics,Take Away,Uttar Pradesh,2808,56868,113
Lucknow,INDIA,04-12-2015,Foundation,North,Cosmetics,Take Away,Uttar Pradesh,10000,271152,114
Ananthpur,INDIA,04-12-2015,Lotion,South,Cosmetics,Home Delivery,Andra Pradesh,2581,83160,117
Amritsar,INDIA,04-12-2015,nail Polish,North,Cosmetics,Take Away,Punjab,1171,4200,118
Kolkata,INDIA,04-12-2015,nail Polish,North,Cosmetics,Take Away,West Bengal,1377,18480,119
Amritsar,INDIA,09-06-2018,Lotion,North,Cosmetics,Take Away,Punjab,1027,15120,125
Ananthpur,INDIA,24-10-2018,nail Polish,South,Cosmetics,Take Away,Andra Pradesh,1323,6300,128
Amritsar,INDIA,24-02-2015,Serum,North,Cosmetics,Take Away,Punjab,1092,10000,131
Korba,INDIA,01-09-2015,lipstick,North,Cosmetics,Home Delivery,Chattisghar,1264,9576,141
Hydrabad,INDIA,16-10-2015,Make up remover,South,Cosmetics,Take Away,Telagana,1227,8000,144
Raipur,INDIA,02-04-2017,Eye liner,North,Cosmetics,Take Away,Chattisghar,1040,2184,147
Ananthpur,INDIA,02-04-2017,Eye liner,South,Cosmetics,Take Away,Andra Pradesh,1009,19068,150
Raipur,INDIA,02-04-2017,Kajal,North,Cosmetics,Take Away,Chattisghar,1000,31164,151
Raipur,INDIA,14-06-2017,lipstick,North,Cosmetics,Take Away,Chattisghar,1459,7056,155
Raipur,INDIA,05-11-2015,lipstick,North,Cosmetics,Take Away,Chattisghar,1018,8652,160
Lucknow,INDIA,18-03-2018,Shadow,North,Cosmetics,Take Away,Uttar Pradesh,1216,5628,162
Surat,INDIA,28-02-2017,Mascara,North,Cosmetics,Take Away,Gujrat,1073,3612,163
Hydrabad,INDIA,09-06-2015,Foundation,South,Cosmetics,Take Away,Telagana,1344,9492,166
Ananthpur,INDIA,09-06-2015,nail Polish,South,Cosmetics,Take Away,Andra Pradesh,2511,72240,167
Guwahati,INDIA,09-06-2015,Foundation,North,Cosmetics,Take Away,Assam,1248,24276,169
Gurgaon,INDIA,09-06-2015,nail Polish,North,Cosmetics,Take Away,Haryana,1238,4704,170
Ananthpur,INDIA,16-02-2017,Kajal,South,Cosmetics,Take Away,Andra Pradesh,1438,14028,175
Bangalore,INDIA,30-08-2016,nail Polish,South,Cosmetics,Take Away,Karnataka,1146,22176,179
Agra,INDIA,25-12-2018,Foundation,North,Cosmetics,Home Delivery,Madhya Pradesh,1029,2016,181
Ludhiyana,INDIA,27-05-2017,Powder,North,Cosmetics,Take Away,Punjab,1178,15204,182
Jaipur,INDIA,04-08-2015,Powder,North,Cosmetics,Take Away,Rajasthan,1056,16380,188
Agra,INDIA,04-08-2015,Powder,North,Cosmetics,Take Away,Madhya Pradesh,1230,4872,190
Hydrabad,INDIA,30-04-2017,Kajal,South,Cosmetics,Home Delivery,Telagana,1447,45000,198
Surat,INDIA,05-11-2017,Lotion,North,Cosmetics,Take Away,Gujrat,2527,60000,199
Gurgaon,INDIA,05-11-2017,Lotion,North,Cosmetics,Home Delivery,Haryana,24,1176,200
Lucknow,INDIA,05-11-2017,Kajal,North,Cosmetics,Home Delivery,Uttar Pradesh,1131,17304,201
Ludhiyana,INDIA,05-11-2017,Serum,North,Cosmetics,Home Delivery,Punjab,1094,2436,202
Raipur,INDIA,19-02-2017,Powder,North,Cosmetics,Home Delivery,Chattisghar,2629,86184,203
Jaipur,INDIA,19-02-2017,Foundation,North,Cosmetics,Take Away,Rajasthan,1130,2856,205
Kolkata,INDIA,30-06-2016,Kajal,North,Cosmetics,Home Delivery,West Bengal,1015,5040,209
Noida,INDIA,11-08-2016,lipstick,North,Cosmetics,Take Away,Uttar Pradesh,3151,56616,213
Ranchi,INDIA,11-08-2016,lipstick,North,Cosmetics,Take Away,Jharkhand,1195,2856,214
Ananthpur,INDIA,19-12-2018,Powder,South,Cosmetics,Take Away,Andra Pradesh,1283,3108,216
Bubneshwar,INDIA,19-05-2016,Kajal,Central,Cosmetics,Take Away,Orissa,1026,15788,217
Ludhiyana,INDIA,23-02-2018,lipstick,North,Cosmetics,Take Away,Punjab,1207,9492,219
Bangalore,INDIA,18-06-2018,Kajal,South,Cosmetics,Home Delivery,Karnataka,1470,48048,220
Guwahati,INDIA,18-06-2018,Kajal,North,Cosmetics,Take Away,Assam,75,588,221
Bangalore,INDIA,18-06-2018,lipstick,South,Cosmetics,Take Away,Karnataka,82,1932,223
Ludhiyana,INDIA,18-06-2018,Lotion,North,Cosmetics,Home Delivery,Punjab,1420,10248,224
Guwahati,INDIA,18-06-2018,lipstick,North,Cosmetics,Take Away,Assam,1408,18648,226
